CUSTOMER CODE,CUSTOMER NAME,ADDRESS 1,ADDRESS 2,TRANSACTION TYPE,ITEM CODE,ITEM DIMENSION,ITEM UNIT OF MEASURE,COMPANY CODE,COMPANY DIMENSION,LOT NUMBER,EXPIRATION DATE,SEGMENT CODE,SEGMENT NAME,PRINCIPAL CODE,PRINCIPAL DIMENSION,QUANTITY SOLD,QUANTITY FREE,UNIT PRICE,GROSS SALES AMOUNT,DISCOUNT AMOUNT,VALUE ADDED TAX AMOUNT,VAT EXCLUSIVE,SALES TAX,NET OF SALES TAX,MDI DISTRIBUTION FEE,BILLING NET SALES,BILLING VAT AMOUNT,BILL GROSS SALES,GB DISTRIBUTION FEE,METRO DRUG CYCLE DATE,Sales Week Number,PERIOD FROM DATE,PERIOD TO DATE,BATCH NUMBER,Batch Date
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16103,Isoprinosine Syrup 250 mg/5ml 60 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13036          ,03/31/2016,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-6,0,185.00,"-1,110.00",0.00,118.93,991.07,1.78,989.29,76.67,914.40,109.73,"1,024.13",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16103,Isoprinosine Syrup 250 mg/5ml 60 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13260          ,08/31/2016,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-6,0,155.40,-932.40,177.60,99.90,832.50,1.50,831.00,64.40,768.10,92.17,860.27,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-91401,Replens Vaginal Moisturizer,6's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'RF02032        ,02/28/2015,'026,GASTRO OB,PC-0075,LCI GROUP INC.,-6,0,"1,050.00","-6,300.00","1,200.00",675.00,"5,625.00",10.11,"5,614.89",435.15,"5,189.85",622.78,"5,812.63",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-91402,Rephresh Vaginal Gel,4's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'FF19051        ,05/31/2014,'026,GASTRO OB,PC-0075,LCI GROUP INC.,-5,0,714.00,"-3,570.00",680.00,382.50,"3,187.50",5.73,"3,181.77",246.59,"2,940.91",352.91,"3,293.82",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12224,Ezerra Cream 25g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'09679007       ,09/30/2013,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-4,0,561.00,"-2,244.00",0.00,240.43,"2,003.57",3.60,"1,999.97",155.00,"1,848.57",221.83,"2,070.40",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16212,Rowatinex Caps.,100's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'7223C          ,11/30/2016,'003,BIOMEDICA,PC-0018,ROWA PHARMACEUTICALS LIMITED,-4,0,"2,120.00","-8,480.00",0.00,908.57,"7,571.43",13.60,"7,557.82",585.73,"6,985.70",838.28,"7,823.98",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-13405,Lagundex 300mg/5ml x 60ml Peppermint,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'700922         ,01/31/2015,'004,MEDIPHARMA,PC-0074,LA CROESUS PHARMA INC.,-3,0,80.00,-240.00,0.00,25.71,214.29,0.39,213.90,16.58,197.71,23.73,221.43,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-13411,Lagundex 300mg/5ml x 60ml Sweet Orange,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'803619         ,09/30/2015,'004,MEDIPHARMA,PC-0074,LA CROESUS PHARMA INC.,-3,0,80.00,-240.00,0.00,25.71,214.29,0.39,213.90,16.58,197.71,23.73,221.43,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16103,Isoprinosine Syrup 250 mg/5ml 60 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13260          ,08/31/2016,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-3,0,185.00,-555.00,0.00,59.46,495.54,0.89,494.65,38.34,457.20,54.86,512.06,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16103,Isoprinosine Syrup 250 mg/5ml 60 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13260          ,08/31/2016,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-3,0,185.00,-555.00,0.00,59.46,495.54,0.89,494.65,38.34,457.20,54.86,512.06,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16103,Isoprinosine Syrup 250 mg/5ml 60 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13260          ,08/31/2016,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-3,0,155.40,-466.20,88.80,49.95,416.25,0.75,415.50,32.20,384.05,46.09,430.13,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16103,Isoprinosine Syrup 250 mg/5ml 60 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13260          ,08/31/2016,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-3,0,185.00,-555.00,0.00,59.46,495.54,0.89,494.65,38.34,457.20,54.86,512.06,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16103,Isoprinosine Syrup 250 mg/5ml 60 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13260          ,08/31/2016,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-3,0,185.00,-555.00,0.00,59.46,495.54,0.89,494.65,38.34,457.20,54.86,512.06,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16105,Isoprinosine Tablet 500 mg,100's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13262          ,08/31/2015,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-3,0,"2,025.00","-6,075.00",0.00,650.89,"5,424.11",9.75,"5,414.36",419.61,"5,004.49",600.54,"5,605.03",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16105,Isoprinosine Tablet 500 mg,100's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13262          ,08/31/2015,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-3,0,"2,025.00","-6,075.00",0.00,650.89,"5,424.11",9.75,"5,414.36",419.61,"5,004.49",600.54,"5,605.03",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16105,Isoprinosine Tablet 500 mg,100's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'13262          ,08/31/2015,'004,MEDIPHARMA,PC-0014,SWISS PHARMA RESEARCH LABORATORIES,-3,0,"2,025.00","-6,075.00",0.00,650.89,"5,424.11",9.75,"5,414.36",419.61,"5,004.49",600.54,"5,605.03",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16209,Rowagel 2% 5 g Tube,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'7277           ,01/31/2015,'017,DERMATOLOGICALS,PC-0118,ROWA PHARMACEUTICALS LIMITED,-3,0,390.60,"-1,171.80",223.20,125.55,"1,046.25",1.88,"1,044.37",80.94,965.31,115.84,"1,081.15",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16209,Rowagel 2% 5 g Tube,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'7277           ,01/31/2015,'017,DERMATOLOGICALS,PC-0118,ROWA PHARMACEUTICALS LIMITED,-3,0,390.60,"-1,171.80",223.20,125.55,"1,046.25",1.88,"1,044.37",80.94,965.31,115.84,"1,081.15",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16211,Rowachol Caps.,100's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'7168C          ,06/30/2016,'026,GASTRO OB,PC-0218,ROWA PHARMACEUTICALS LIMITED,-3,0,"2,350.66","-7,051.98","1,343.22",755.57,"6,296.41",11.31,"6,285.10",487.10,"5,809.32",697.12,"6,506.43",0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12209,Clonate Cream 15g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1145A205       ,10/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,242.00,-484.00,0.00,51.86,432.14,0.78,431.37,33.43,398.71,47.85,446.56,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12209,Clonate Cream 15g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1145A205       ,10/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,242.00,-484.00,0.00,51.86,432.14,0.78,431.37,33.43,398.71,47.85,446.56,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12209,Clonate Cream 15g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1145A205       ,10/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,242.00,-484.00,0.00,51.86,432.14,0.78,431.37,33.43,398.71,47.85,446.56,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12209,Clonate Cream 15g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1145A205       ,10/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,242.00,-484.00,0.00,51.86,432.14,0.78,431.37,33.43,398.71,47.85,446.56,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12209,Clonate Cream 15g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1145A205       ,10/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,242.00,-484.00,0.00,51.86,432.14,0.78,431.37,33.43,398.71,47.85,446.56,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12209,Clonate Cream 15g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1145A205       ,10/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,242.00,-484.00,0.00,51.86,432.14,0.78,431.37,33.43,398.71,47.85,446.56,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12209,Clonate Cream 15g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1145A205       ,10/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,242.00,-484.00,0.00,51.86,432.14,0.78,431.37,33.43,398.71,47.85,446.56,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12209,Clonate Cream 15g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1145A205       ,10/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,242.00,-484.00,0.00,51.86,432.14,0.78,431.37,33.43,398.71,47.85,446.56,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12228,Clonate Cream 5g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1438C202       ,12/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,147.40,-294.80,0.00,31.59,263.21,0.47,262.74,20.36,242.85,29.14,271.99,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12228,Clonate Cream 5g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1438C202       ,12/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,147.40,-294.80,0.00,31.59,263.21,0.47,262.74,20.36,242.85,29.14,271.99,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12228,Clonate Cream 5g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1438C202       ,12/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,147.40,-294.80,0.00,31.59,263.21,0.47,262.74,20.36,242.85,29.14,271.99,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12228,Clonate Cream 5g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1438C202       ,12/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,147.40,-294.80,0.00,31.59,263.21,0.47,262.74,20.36,242.85,29.14,271.99,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12228,Clonate Cream 5g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1438C202       ,12/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,147.40,-294.80,0.00,31.59,263.21,0.47,262.74,20.36,242.85,29.14,271.99,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12228,Clonate Cream 5g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1438C202       ,12/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,147.40,-294.80,0.00,31.59,263.21,0.47,262.74,20.36,242.85,29.14,271.99,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12228,Clonate Cream 5g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1438C202       ,12/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-2,0,147.40,-294.80,0.00,31.59,263.21,0.47,262.74,20.36,242.85,29.14,271.99,0.00,12/01/2013,2,12/08/2013,12/14/2013,2013002,12/15/2013
